Column #	gene_assignment	Gene Symbol	RefSeq	Transcript ID	p-value(Subtype-golden)	p-value(Classical-line vs. B10)	Ratio(Classical-line vs. B10)	Fold-Change(Classical-line vs. B10)	Fold-Change(Classical-line vs. B10) (Description)	p-value(Mesenchymal-line vs. B10)	Ratio(Mesenchymal-line vs. B10)	Fold-Change(Mesenchymal-line vs. B10)	Fold-Change(Mesenchymal-line vs. B10) (Description)	p-value(Proneural-line vs. B10)	Ratio(Proneural-line vs. B10)	Fold-Change(Proneural-line vs. B10)	Fold-Change(Proneural-line vs. B10) (Description)	p-value(Classical-tex vs. TOTBRAIN)	Ratio(Classical-tex vs. TOTBRAIN)	Fold-Change(Classical-tex vs. TOTBRAIN)	Fold-Change(Classical-tex vs. TOTBRAIN) (Description)	p-value(Mesenchymal-tex vs. TOTBRAIN)	Ratio(Mesenchymal-tex vs. TOTBRAIN)	Fold-Change(Mesenchymal-tex vs. TOTBRAIN)	Fold-Change(Mesenchymal-tex vs. TOTBRAIN) (Description)	p-value(Proneural-tex vs. TOTBRAIN)	Ratio(Proneural-tex vs. TOTBRAIN)	Fold-Change(Proneural-tex vs. TOTBRAIN)	Fold-Change(Proneural-tex vs. TOTBRAIN) (Description)	F(Subtype-golden)	SS(Subtype-golden)	SS(Error)	F(Error)
62372	NM_002982 // CCL2 // chemokine (C-C motif) ligand 2 // 17q11.2-q12 // 6347 /// ENST00000225831 // CCL2 // chemokine (C-C motif) ligand 2 // 17q11.2-q12 // 6347 /// BC009716 // CCL2 // chemokine (C-C motif) ligand 2 // 17q11.2-q12 // 6347	CCL2	NM_002982	TC17000383.hg.1	3.13289e-017	0.509772	0.768762	-1.30079	Classical-line down vs B10	2.87125e-008	24.6306	24.6306	Mesenchymal-line up vs B10	0.00135446	4.21263	4.21263	Proneural-line up vs B10	0.00290271	4.05536	4.05536	Classical-tex up vs TOTBRAIN	0.520634	1.32401	1.32401	Mesenchymal-tex up vs TOTBRAIN	0.979107	1.01325	1.01325	Proneural-tex up vs TOTBRAIN	65.1841	303.545	15.5224	1
9605	NM_002053 // GBP1 // guanylate binding protein 1, interferon-inducible // 1p22.2 // 2633 /// ENST00000370473 // GBP1 // guanylate binding protein 1, interferon-inducible // 1p22.2 // 2633 /// ENST00000484970 // GBP1 // guanylate binding protein 1, interferon-inducible // 1p22.2 // 2633 /// ENST00000542693 // GBP1 // guanylate binding protein 1, interferon-inducible // 1p22.2 // 2633 /// BC002666 // GBP1 // guanylate binding protein 1, interferon-inducible // 1p22.2 // 2633	GBP1	NM_002053	TC01002847.hg.1	8.24748e-012	0.168073	0.43319	-2.30845	Classical-line down vs B10	3.08434e-005	24.0306	24.0306	Mesenchymal-line up vs B10	0.0801155	3.02803	3.02803	Proneural-line up vs B10	0.0142924	5.40572	5.40572	Classical-tex up vs TOTBRAIN	0.192349	2.37558	2.37558	Mesenchymal-tex up vs TOTBRAIN	0.364966	0.502018	-1.99196	Proneural-tex down vs TOTBRAIN	26.028	273.619	35.0416	1
13188	NM_080657 // RSAD2 // radical S-adenosyl methionine domain containing 2 // 2p25.2 // 91543 /// ENST00000382040 // RSAD2 // radical S-adenosyl methionine domain containing 2 // 2p25.2 // 91543 /// ENST00000474872 // RSAD2 // radical S-adenosyl methionine domain containing 2 // 2p25.2 // 91543 /// ENST00000541728 // RSAD2 // radical S-adenosyl methionine domain containing 2 // 2p25.2 // 91543 /// BC017969 // RSAD2 // radical S-adenosyl methionine domain containing 2 // 2p25.2 // 91543	RSAD2	NM_080657	TC02000034.hg.1	0.000126076	0.842187	0.861553	-1.16069	Classical-line down vs B10	0.000594199	22.6456	22.6456	Mesenchymal-line up vs B10	0.170345	2.93463	2.93463	Proneural-line up vs B10	0.0620697	4.83255	4.83255	Classical-tex up vs TOTBRAIN	0.724542	1.33528	1.33528	Mesenchymal-tex up vs TOTBRAIN	0.950136	0.942529	-1.06097	Proneural-tex down vs TOTBRAIN	5.73536	94.6446	55.0065	1
28704	NM_003269 // NR2E1 // nuclear receptor subfamily 2, group E, member 1 // 6q21 // 7101 /// ENST00000368983 // NR2E1 // nuclear receptor subfamily 2, group E, member 1 // 6q21 // 7101 /// ENST00000368986 // NR2E1 // nuclear receptor subfamily 2, group E, member 1 // 6q21 // 7101 /// ENST00000484978 // NR2E1 // nuclear receptor subfamily 2, group E, member 1 // 6q21 // 7101 /// BC028031 // NR2E1 // nuclear receptor subfamily 2, group E, member 1 // 6q21 // 7101	NR2E1	NM_003269	TC06000860.hg.1	2.63576e-009	0.610212	1.23678	1.23678	Classical-line up vs B10	1.26542e-007	22.2875	22.2875	Mesenchymal-line up vs B10	0.000144944	6.37966	6.37966	Proneural-line up vs B10	0.543093	1.32045	1.32045	Classical-tex up vs TOTBRAIN	0.20508	1.79561	1.79561	Mesenchymal-tex up vs TOTBRAIN	0.709093	0.82158	-1.21717	Proneural-tex down vs TOTBRAIN	16.3784	83.5322	17.0004	1
13427	NM_001430 // EPAS1 // endothelial PAS domain protein 1 // 2p21-p16 // 2034 /// ENST00000263734 // LOC100652809 // uncharacterized LOC100652809 // --- // 100652809 /// ENST00000263734 // EPAS1 // endothelial PAS domain protein 1 // 2p21-p16 // 2034 /// ENST00000467888 // LOC100652809 // uncharacterized LOC100652809 // --- // 100652809 /// ENST00000467888 // EPAS1 // endothelial PAS domain protein 1 // 2p21-p16 // 2034 /// BC051338 // EPAS1 // endothelial PAS domain protein 1 // 2p21-p16 // 2034	EPAS1	NM_001430	TC02000281.hg.1	5.58158e-013	0.00501684	2.93299	2.93299	Classical-line up vs B10	8.41823e-009	21.5302	21.5302	Mesenchymal-line up vs B10	5.86652e-005	5.55423	5.55423	Proneural-line up vs B10	0.740607	0.878054	-1.13888	Classical-tex down vs TOTBRAIN	0.27816	0.650585	-1.53708	Mesenchymal-tex down vs TOTBRAIN	0.47708	0.72354	-1.38209	Proneural-tex down vs TOTBRAIN	31.965	120.943	12.6121	1
19634	NM_182920 // ADAMTS9 // ADAM metallopeptidase with thrombospondin type 1 motif, 9 // 3p14.1 // 56999 /// ENST00000295903 // ADAMTS9 // ADAM metallopeptidase with thrombospondin type 1 motif, 9 // 3p14.1 // 56999 /// ENST00000459780 // ADAMTS9 // ADAM metallopeptidase with thrombospondin type 1 motif, 9 // 3p14.1 // 56999 /// ENST00000467257 // ADAMTS9 // ADAM metallopeptidase with thrombospondin type 1 motif, 9 // 3p14.1 // 56999 /// ENST00000498707 // ADAMTS9 // ADAM metallopeptidase with thrombospondin type 1 motif, 9 // 3p14.1 // 56999 /// BC130578 // ADAMTS9 // ADAM metallopeptidase with thrombospondin type 1 motif, 9 // 3p14.1 // 56999 /// BC171764 // ADAMTS9 // ADAM metallopeptidase with thrombospondin type 1 motif, 9 // 3p14.1 // 56999	ADAMTS9	NM_182920	TC03001527.hg.1	3.24957e-008	0.215611	1.87898	1.87898	Classical-line up vs B10	4.80399e-006	20.8316	20.8316	Mesenchymal-line up vs B10	0.000476509	7.525	7.525	Proneural-line up vs B10	0.14816	2.24952	2.24952	Classical-tex up vs TOTBRAIN	0.806914	0.873996	-1.14417	Mesenchymal-tex down vs TOTBRAIN	0.509783	1.52311	1.52311	Proneural-tex up vs TOTBRAIN	13.1963	98.3272	24.837	1
38233	NM_000700 // ANXA1 // annexin A1 // 9q21.13 // 301 /// ENST00000257497 // ANXA1 // annexin A1 // 9q21.13 // 301 /// ENST00000376911 // ANXA1 // annexin A1 // 9q21.13 // 301 /// ENST00000491192 // ANXA1 // annexin A1 // 9q21.13 // 301 /// BC001275 // ANXA1 // annexin A1 // 9q21.13 // 301 /// BC035993 // ANXA1 // annexin A1 // 9q21.13 // 301	ANXA1	NM_000700	TC09000335.hg.1	9.95114e-015	0.16344	1.67364	1.67364	Classical-line up vs B10	1.52509e-008	20.5861	20.5861	Mesenchymal-line up vs B10	8.4344e-007	9.98371	9.98371	Proneural-line up vs B10	3.97372e-005	6.68413	6.68413	Classical-tex up vs TOTBRAIN	0.000273932	5.08938	5.08938	Mesenchymal-tex up vs TOTBRAIN	0.0279392	2.86738	2.86738	Proneural-tex up vs TOTBRAIN	43.0834	167.804	12.9829	1
60431	NM_001795 // CDH5 // cadherin 5, type 2 (vascular endothelium) // 16q22.1 // 1003 /// BC096363 // CDH5 // cadherin 5, type 2 (vascular endothelium) // 16q22.1 // 1003 /// ENST00000341529 // CDH5 // cadherin 5, type 2 (vascular endothelium) // 16q22.1 // 1003 /// ENST00000539168 // CDH5 // cadherin 5, type 2 (vascular endothelium) // 16q22.1 // 1003 /// ENST00000539262 // CDH5 // cadherin 5, type 2 (vascular endothelium) // 16q22.1 // 1003 /// BC096364 // CDH5 // cadherin 5, type 2 (vascular endothelium) // 16q22.1 // 1003 /// BC096365 // CDH5 // cadherin 5, type 2 (vascular endothelium) // 16q22.1 // 1003	CDH5	NM_001795	TC16000514.hg.1	3.63871e-009	0.906076	1.07313	1.07313	Classical-line up vs B10	6.97208e-005	20.0097	20.0097	Mesenchymal-line up vs B10	0.720793	1.24736	1.24736	Proneural-line up vs B10	0.840591	0.876483	-1.14092	Classical-tex down vs TOTBRAIN	0.145906	0.37905	-2.63817	Mesenchymal-tex down vs TOTBRAIN	0.0105789	0.129257	-7.73655	Proneural-tex down vs TOTBRAIN	15.9399	168.103	35.1535	1
24415	NM_006206 // PDGFRA // platelet-derived growth factor receptor, alpha polypeptide // 4q12 // 5156 /// ENST00000257290 // PDGFRA // platelet-derived growth factor receptor, alpha polypeptide // 4q12 // 5156 /// ENST00000508170 // PDGFRA // platelet-derived growth factor receptor, alpha polypeptide // 4q12 // 5156 /// BC063414 // PDGFRA // platelet-derived growth factor receptor, alpha polypeptide // 4q12 // 5156	PDGFRA	NM_006206	TC04002931.hg.1	7.06426e-010	0.0219287	2.66373	2.66373	Classical-line up vs B10	1.83645e-007	19.8715	19.8715	Mesenchymal-line up vs B10	3.74436e-009	30.9544	30.9544	Proneural-line up vs B10	0.406285	1.45351	1.45351	Classical-tex up vs TOTBRAIN	0.0141345	3.18021	3.18021	Mesenchymal-tex up vs TOTBRAIN	0.023517	3.39923	3.39923	Proneural-tex up vs TOTBRAIN	18.2691	89.9537	16.4127	1
22800	NM_001565 // CXCL10 // chemokine (C-X-C motif) ligand 10 // 4q21 // 3627 /// BC010954 // CXCL10 // chemokine (C-X-C motif) ligand 10 // 4q21 // 3627 /// ENST00000306602 // CXCL10 // chemokine (C-X-C motif) ligand 10 // 4q21 // 3627	CXCL10	NM_001565	TC04001305.hg.1	0.00304845	0.973947	0.971513	-1.02932	Classical-line down vs B10	0.0043682	19.3746	19.3746	Mesenchymal-line up vs B10	0.747029	1.34321	1.34321	Proneural-line up vs B10	0.0198079	10.6581	10.6581	Classical-tex up vs TOTBRAIN	0.230192	3.24604	3.24604	Mesenchymal-tex up vs TOTBRAIN	0.240763	3.77546	3.77546	Proneural-tex up vs TOTBRAIN	3.73212	86.1492	76.944	1
20101	NM_003810 // TNFSF10 // tumor necrosis factor (ligand) superfamily, member 10 // 3q26 // 8743 /// NM_001190942 // TNFSF10 // tumor necrosis factor (ligand) superfamily, member 10 // 3q26 // 8743 /// NM_001190943 // TNFSF10 // tumor necrosis factor (ligand) superfamily, member 10 // 3q26 // 8743 /// NR_033994 // TNFSF10 // tumor necrosis factor (ligand) superfamily, member 10 // 3q26 // 8743 /// ENST00000241261 // TNFSF10 // tumor necrosis factor (ligand) superfamily, member 10 // 3q26 // 8743 /// ENST00000420541 // TNFSF10 // tumor necrosis factor (ligand) superfamily, member 10 // 3q26 // 8743 /// BC032722 // TNFSF10 // tumor necrosis factor (ligand) superfamily, member 10 // 3q26 // 8743	TNFSF10	NM_003810	TC03002006.hg.1	4.06783e-012	0.911453	0.951789	-1.05065	Classical-line down vs B10	1.11228e-006	18.8207	18.8207	Mesenchymal-line up vs B10	0.0266261	2.88925	2.88925	Proneural-line up vs B10	0.142935	2.067	2.067	Classical-tex up vs TOTBRAIN	0.364284	0.641063	-1.55991	Mesenchymal-tex down vs TOTBRAIN	0.0141649	0.23417	-4.2704	Proneural-tex down vs TOTBRAIN	27.4849	159.915	19.3943	1
38881	NM_014314 // DDX58 // DEAD (Asp-Glu-Ala-Asp) box polypeptide 58 // 9p12 // 23586 /// ENST00000379868 // DDX58 // DEAD (Asp-Glu-Ala-Asp) box polypeptide 58 // 9p12 // 23586 /// ENST00000379882 // DDX58 // DEAD (Asp-Glu-Ala-Asp) box polypeptide 58 // 9p12 // 23586 /// ENST00000379883 // DDX58 // DEAD (Asp-Glu-Ala-Asp) box polypeptide 58 // 9p12 // 23586 /// ENST00000542096 // DDX58 // DEAD (Asp-Glu-Ala-Asp) box polypeptide 58 // 9p12 // 23586 /// ENST00000542960 // DDX58 // DEAD (Asp-Glu-Ala-Asp) box polypeptide 58 // 9p12 // 23586 /// ENST00000545044 // DDX58 // DEAD (Asp-Glu-Ala-Asp) box polypeptide 58 // 9p12 // 23586 /// BC132786 // DDX58 // DEAD (Asp-Glu-Ala-Asp) box polypeptide 58 // 9p12 // 23586	DDX58	NM_014314	TC09000999.hg.1	6.74774e-006	0.752505	0.827084	-1.20907	Classical-line down vs B10	0.000117639	18.0163	18.0163	Mesenchymal-line up vs B10	0.224881	2.14574	2.14574	Proneural-line up vs B10	0.0379209	4.13353	4.13353	Classical-tex up vs TOTBRAIN	0.631133	1.37301	1.37301	Mesenchymal-tex up vs TOTBRAIN	0.582718	0.657625	-1.52062	Proneural-tex down vs TOTBRAIN	7.94309	84.722	35.5537	1
68993	NM_001193421 // TSHZ2 // teashirt zinc finger homeobox 2 // 20q13.2 // 128553 /// NM_173485 // TSHZ2 // teashirt zinc finger homeobox 2 // 20q13.2 // 128553 /// ENST00000329613 // TSHZ2 // teashirt zinc finger homeobox 2 // 20q13.2 // 128553 /// ENST00000371497 // TSHZ2 // teashirt zinc finger homeobox 2 // 20q13.2 // 128553 /// ENST00000559286 // TSHZ2 // teashirt zinc finger homeobox 2 // 20q13.2 // 128553	TSHZ2	NM_001193421	TC20000416.hg.1	2.54316e-014	0.0276942	0.327699	-3.05158	Classical-line down vs B10	6.29222e-006	17.9125	17.9125	Mesenchymal-line up vs B10	0.052974	2.72694	2.72694	Proneural-line up vs B10	0.561112	1.36397	1.36397	Classical-tex up vs TOTBRAIN	0.799465	0.8734	-1.14495	Mesenchymal-tex down vs TOTBRAIN	0.011094	0.191886	-5.21144	Proneural-tex down vs TOTBRAIN	40.2205	280.194	23.2215	1
51134	NM_000900 // MGP // matrix Gla protein // 12p12.3 // 4256 /// NM_001190839 // MGP // matrix Gla protein // 12p12.3 // 4256 /// ENST00000228938 // MGP // matrix Gla protein // 12p12.3 // 4256 /// ENST00000539261 // MGP // matrix Gla protein // 12p12.3 // 4256 /// BC005272 // MGP // matrix Gla protein // 12p12.3 // 4256 /// BC070314 // MGP // matrix Gla protein // 12p12.3 // 4256 /// BC093078 // MGP // matrix Gla protein // 12p12.3 // 4256	MGP	NM_000900	TC12001276.hg.1	8.6573e-011	0.839409	1.11555	1.11555	Classical-line up vs B10	3.23656e-005	17.4887	17.4887	Mesenchymal-line up vs B10	0.00656774	5.02145	5.02145	Proneural-line up vs B10	0.102212	2.68534	2.68534	Classical-tex up vs TOTBRAIN	0.416869	1.61994	1.61994	Mesenchymal-tex up vs TOTBRAIN	0.495379	1.59519	1.59519	Proneural-tex up vs TOTBRAIN	21.6452	185.623	28.5857	1
32578	NM_000602 // SERPINE1 // serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1 // 7q21.3-q22 // 5054 /// NM_001165413 // SERPINE1 // serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1 // 7q21.3-q22 // 5054 /// ENST00000223095 // SERPINE1 // serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1 // 7q21.3-q22 // 5054 /// ENST00000445463 // SERPINE1 // serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1 // 7q21.3-q22 // 5054 /// ENST00000536888 // SERPINE1 // serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1 // 7q21.3-q22 // 5054 /// BC010860 // SERPINE1 // serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1 // 7q21.3-q22 // 5054	SERPINE1	NM_000602	TC07000643.hg.1	1.37596e-015	0.947275	1.02421	1.02421	Classical-line up vs B10	5.05706e-008	16.9865	16.9865	Mesenchymal-line up vs B10	0.00270896	3.357	3.357	Proneural-line up vs B10	0.00889215	3.00268	3.00268	Classical-tex up vs TOTBRAIN	0.000502367	4.6293	4.6293	Mesenchymal-tex up vs TOTBRAIN	3.61289e-006	13.0437	13.0437	Proneural-tex up vs TOTBRAIN	49.7394	191.809	12.8542	1
68473	NM_006332 // IFI30 // interferon, gamma-inducible protein 30 // 19p13.1 // 10437 /// ENST00000407280 // IFI30 // interferon, gamma-inducible protein 30 // 19p13.1 // 10437 /// BC021136 // IFI30 // interferon, gamma-inducible protein 30 // 19p13.1 // 10437 /// BC031020 // IFI30 // interferon, gamma-inducible protein 30 // 19p13.1 // 10437	IFI30	NM_006332	TC19002629.hg.1	1.32511e-013	0.000601728	2.62212	2.62212	Classical-line up vs B10	2.80247e-011	16.656	16.656	Mesenchymal-line up vs B10	7.65783e-005	3.28302	3.28302	Proneural-line up vs B10	0.00106363	2.71267	2.71267	Classical-tex up vs TOTBRAIN	2.40279e-005	3.95196	3.95196	Mesenchymal-tex up vs TOTBRAIN	0.00113081	3.14258	3.14258	Proneural-tex up vs TOTBRAIN	35.5982	67.4574	6.31656	1
33477	NM_006080 // SEMA3A // sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A // 7p12.1 // 10371 /// ENST00000265362 // SEMA3A // sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A // 7p12.1 // 10371 /// ENST00000436949 // SEMA3A // sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A // 7p12.1 // 10371 /// ENST00000471474 // SEMA3A // sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A // 7p12.1 // 10371 /// BC111416 // SEMA3A // sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A // 7p12.1 // 10371	SEMA3A	NM_006080	TC07001568.hg.1	4.19406e-005	0.374876	0.543262	-1.84073	Classical-line down vs B10	0.000691889	16.5534	16.5534	Mesenchymal-line up vs B10	0.606048	1.43998	1.43998	Proneural-line up vs B10	0.837942	0.858056	-1.16543	Classical-tex down vs TOTBRAIN	0.236852	0.408346	-2.4489	Mesenchymal-tex down vs TOTBRAIN	0.133601	0.266856	-3.74734	Proneural-tex down vs TOTBRAIN	6.5188	89.6453	45.8394	1
22857	NM_001128310 // SPARCL1 // SPARC-like 1 (hevin) // 4q22.1 // 8404 /// NM_004684 // SPARCL1 // SPARC-like 1 (hevin) // 4q22.1 // 8404 /// ENST00000282470 // SPARCL1 // SPARC-like 1 (hevin) // 4q22.1 // 8404 /// ENST00000418378 // SPARCL1 // SPARC-like 1 (hevin) // 4q22.1 // 8404 /// ENST00000438050 // SPARCL1 // SPARC-like 1 (hevin) // 4q22.1 // 8404 /// ENST00000503414 // SPARCL1 // SPARC-like 1 (hevin) // 4q22.1 // 8404 /// BC033721 // SPARCL1 // SPARC-like 1 (hevin) // 4q22.1 // 8404	SPARCL1	NM_001128310	TC04001366.hg.1	5.96116e-013	0.0740886	2.06954	2.06954	Classical-line up vs B10	3.50754e-007	16.3966	16.3966	Mesenchymal-line up vs B10	0.000250423	5.39605	5.39605	Proneural-line up vs B10	0.233151	0.59222	-1.68856	Classical-tex down vs TOTBRAIN	0.0651097	0.438533	-2.28033	Mesenchymal-tex down vs TOTBRAIN	0.00496575	0.221455	-4.51559	Proneural-tex down vs TOTBRAIN	31.8069	147.245	15.4312	1
41091	NM_002668 // PLP2 // proteolipid protein 2 (colonic epithelium-enriched) // Xp11.23 // 5355 /// ENST00000376322 // PLP2 // proteolipid protein 2 (colonic epithelium-enriched) // Xp11.23 // 5355 /// ENST00000376327 // PLP2 // proteolipid protein 2 (colonic epithelium-enriched) // Xp11.23 // 5355 /// BC109066 // PLP2 // proteolipid protein 2 (colonic epithelium-enriched) // Xp11.23 // 5355	PLP2	NM_002668	TC0X000267.hg.1	2.53574e-012	4.99227e-006	3.92528	3.92528	Classical-line up vs B10	2.49183e-011	15.9921	15.9921	Mesenchymal-line up vs B10	8.08607e-008	5.99753	5.99753	Proneural-line up vs B10	1.58089e-008	7.88664	7.88664	Classical-tex up vs TOTBRAIN	3.09229e-007	5.85471	5.85471	Mesenchymal-tex up vs TOTBRAIN	0.0294216	2.04074	2.04074	Proneural-tex up vs TOTBRAIN	28.4979	51.9311	6.07424	1
